text,label
*.kecdjzsj.tk US Google Trust Services LLC GTS CA 1P5 ,1
panel.itsteo.host US Let's Encrypt R3 ,1
volkswagen-auto-thomas-hennef.de US Let's Encrypt R3 ,1
www.hairextensionsvancouver.bizzarrehair.ca US Let's Encrypt R3 ,1
uslead.pro US Let's Encrypt R3 ,1
taylorhaigler.com US Let's Encrypt R3 ,1
gitlab.git.gitlab.git.gitlab.git.hongcexunhu.com US Let's Encrypt R3 ,1
www.golfpinflag.com US Let's Encrypt R3 ,1
woonatural.com US Let's Encrypt R3 ,1
grafana.hd1py.com US Let's Encrypt R3 ,1
git.git.git.git.git.cs.tapiau.info US Let's Encrypt R3 ,1
*.talex-yoigo.es US Let's Encrypt R3 ,1
www.pbb.khatulistiwa.desa.id US Let's Encrypt R3 ,1
griguaassistenza.osticket.it US Let's Encrypt R3 ,1
www.robereclamation.com.au US Let's Encrypt R3 ,1
rwtpl.com US Let's Encrypt R3 ,1
www.kosei-toyokawa.com US Let's Encrypt R3 ,1
blog.blog.ns1.leaguelobster.com US Let's Encrypt R3 ,1
scottsitron.com US Let's Encrypt R3 ,1
tab-trockenbau.com US Let's Encrypt R3 ,1
allwetpublishing.com US Let's Encrypt R3 ,1
www.odermann.art US Let's Encrypt R3 ,1
astles.fr US Let's Encrypt R3 ,1
madridsensual.com US Let's Encrypt R3 ,1
babtainco.com US Google Trust Services LLC GTS CA 1P5 ,1
foxixianyu.i234.me US Let's Encrypt R3 ,1
*.sga-49757.nutanixframe.com US Let's Encrypt R3 ,1
toyo-const.hisaoworks.net US Let's Encrypt R3 ,1
jaclem.ww7.be US Let's Encrypt R3 ,1
"*.cantara.cloud US GoDaddy.com, Inc. Go Daddy Secure Certificate Authority - G2 ",1
app.tokatindung.com US Let's Encrypt R3 ,1
usc.znaczkima5608t.pw US DigiCert Inc Encryption Everywhere DV TLS CA - G1 ,1
settlersgateallen.com US Let's Encrypt R3 ,1
cpanel.cosmicgroupsl.com US Let's Encrypt R3 ,1
ev.unam.edu.ar US Let's Encrypt R3 ,1
incredibleedibles2.com US DigiCert Inc Encryption Everywhere DV TLS CA - G1 ,1
stream.roboware.ai US Google Trust Services LLC GTS CA 1D4 ,1
homeextensionssouthport.co.uk US Let's Encrypt R3 ,1
*.ethmining.homes US Google Trust Services LLC GTS CA 1P5 ,1
*.healthmoziac.com US Let's Encrypt E1 ,1
*.mobilewelderenfield.co.uk US DigiCert Inc Encryption Everywhere DV TLS CA - G1 ,1
melroseceviche.com US Google Trust Services LLC GTS CA 1D4 ,1
brainrumagento2.phpmyadmin.burgbaran.de US Let's Encrypt R3 ,1
*.atele.dn.ua US Let's Encrypt E1 ,1
*.dollarpro392.pages.dev US Let's Encrypt E1 ,1
lims.nmvrvi.lt GB Sectigo Limited Sectigo RSA Domain Validation Secure Server CA ,1
dev.justin.ua US Let's Encrypt R3 ,1
centrodeterapiasybienestar.com US Let's Encrypt R3 ,1
autohandelboone.be US Let's Encrypt R3 ,1
*.xn----7sbabnihvnm0ah3cf.xn--p1ai US Let's Encrypt E1 ,1
api.sweetpets.net US DigiCert Inc Encryption Everywhere DV TLS CA - G1 ,1
*.mantid.co US Let's Encrypt R3 ,1
*.dm2nvqyst5xgv.amplifyapp.com US Amazon Amazon RSA 2048 M02 ,1
*.bremertonlockandkey.com US Let's Encrypt R3 ,1
ews.a-k-d.ru US Let's Encrypt R3 ,1
*.mycitizeneboxbelgiumtrackid4sd9masd.me US Let's Encrypt E1 ,1
www.elenafosternotary.com US Google Trust Services LLC GTS CA 1D4 ,1
cpanel.huldaariel.photography US Let's Encrypt R3 ,1
www.smartcomfortapartments.com US Let's Encrypt R3 ,1
www.montessori-vienne.com US Let's Encrypt R3 ,1
www.proartcompetition.com US Let's Encrypt R3 ,1
cyberitsolutions.ca US Let's Encrypt R3 ,1
proudrock-06c0f563.germanywestcentral.azurecontainerapps.io US Microsoft Corporation Microsoft Azure TLS Issuing CA 06 ,1
canadacentral.compute.inference.ml.azure.com US DigiCert Inc DigiCert SHA2 Secure Server CA ,1
*.borrmordali.ml US Let's Encrypt E1 ,1
toptenreviews.eu US DigiCert Inc Encryption Everywhere DV TLS CA - G1 ,1
xn--seorcarbon-u9a.com US DigiCert Inc Encryption Everywhere DV TLS CA - G1 ,1
mail.imageslocker.com US Let's Encrypt R3 ,1
www.wearespectra.co US Let's Encrypt R3 ,1
meehomerouter.duckdns.org US Let's Encrypt R3 ,1
espaciomatheu.com US Let's Encrypt R3 ,1
instaturk.store US Let's Encrypt R3 ,1
www.sunflower-celle.de US Let's Encrypt R3 ,1
in-the.quest US Let's Encrypt R3 ,1
*.apostolaatvantroost.nl US Let's Encrypt R3 ,1
bst-2b6e4bd3-cb51-43c8-9477-d1220a0ce2fd.bastion.azure.com US Microsoft Corporation Microsoft Azure TLS Issuing CA 06 ,1
www.whatthefoliage.com.au US Let's Encrypt R3 ,1
rickalejandrohewitt.com US Google Trust Services LLC GTS CA 1D4 ,1
*.qretro.com US Google Trust Services LLC GTS CA 1P5 ,1
appletion2.asuscomm.com US Let's Encrypt R3 ,1
englishfouru.com US Let's Encrypt R3 ,1
www.dimetasmithcpa.com US Let's Encrypt R3 ,1
wood-couture.ch US Let's Encrypt R3 ,1
www.brixleystree.com US Google Trust Services LLC GTS CA 1D4 ,1
*.lmgllc.net US Let's Encrypt R3 ,1
blog.magento.live.katarinaorlandini.com US Let's Encrypt R3 ,1
theessentialhome.co.uk US Let's Encrypt R3 ,1
*.j2obt.info US Google Trust Services LLC GTS CA 1P5 ,1
"sni.cloudflaressl.com US Cloudflare, Inc. Cloudflare Inc ECC CA-3 ",1
ci.motor-grease.performance.aize.io US Let's Encrypt R3 ,1
www.be-plan.de US DigiCert Inc Encryption Everywhere DV TLS CA - G1 ,1
pfa-elearning.at US Let's Encrypt R3 ,1
*.paintmarket.info US Let's Encrypt R3 ,1
bewerbung.medoment.de US Let's Encrypt R3 ,1
web.trader369.click US Let's Encrypt R3 ,1
*.apollofoam.com US Let's Encrypt R3 ,1
naturalgreencr.com US Let's Encrypt R3 ,1
statikculture.com US Let's Encrypt R3 ,1
*.rekrioride.ml US Let's Encrypt E1 ,1
rotadocafedobrasil.com US Let's Encrypt R3 ,1
paypay-bachelor-sidefire.com US Let's Encrypt R3 ,1
pulsedesign.jp US Let's Encrypt R3 ,1
deokr0zcyquf7in.access.rateex.ru US Let's Encrypt R3 ,1
"andigrafica.com US GoDaddy.com, Inc. Go Daddy Secure Certificate Authority - G2 ",1
www.michalkepublishing.com US Let's Encrypt R3 ,1
www.filpluslending.com US Let's Encrypt R3 ,1
webmail.notaioroncoroni.it US Let's Encrypt R3 ,1
www.fenyxdobrasil.crm.netsac.com.br US Let's Encrypt R3 ,1
cx.intelepeer.com US Let's Encrypt R3 ,1
cancelaosquecancelam.kimitri.com.br US Let's Encrypt R3 ,1
lucasnegrel.fr US Let's Encrypt R3 ,1
ecoledescommunications.com US Let's Encrypt R3 ,1
avito.sber.avito.avito.avito.git.covid19.zlclubmarket.com US Let's Encrypt R3 ,1
*.aprusta.tk US Google Trust Services LLC GTS CA 1P5 ,1
meta-driver.com US DigiCert Inc Encryption Everywhere DV TLS CA - G1 ,1
www.d9x9wmc6bhusxcqy.shop.ikonhospitality.com US Let's Encrypt R3 ,1
"sni.cloudflaressl.com US Cloudflare, Inc. Cloudflare Inc ECC CA-3 ",1
"westcoasthis.com US GoDaddy.com, Inc. Go Daddy Secure Certificate Authority - G2 ",1
webdisk.ideal-gas.com US Let's Encrypt R3 ,1
cafedesspores.be US Let's Encrypt R3 ,1
www.arlynn.com US Let's Encrypt R3 ,1
www.loginresmiqqhoki.agustinmunoz.net US Let's Encrypt R3 ,1
grand-resh.ru US Let's Encrypt R3 ,1
www.12498n.com US Let's Encrypt R3 ,1
www.snookerfeet.com US Let's Encrypt R3 ,1
af6.58098285.xyz US Let's Encrypt R3 ,1
*.mcas.ms US Microsoft Corporation Microsoft Azure TLS Issuing CA 01 ,1
*.okwin333.me US Google Trust Services LLC GTS CA 1P5 ,1
admin.cmsdk.com US Let's Encrypt R3 ,1
*.tatuazbeztajemnic.pl US Google Trust Services LLC GTS CA 1P5 ,1
*.u4tx0x9gwj.com US Google Trust Services LLC GTS CA 1P5 ,1
wsp.registrationsepayslip.pw US DigiCert Inc Encryption Everywhere DV TLS CA - G1 ,1
*.nnpcwxj.cyou US Google Trust Services LLC GTS CA 1P5 ,1
