"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"* [[XX]] [[1]] * ","* [[twenty]] [[ane]] * ",0.0015369653701782227,0.007524669170379639,0,0,0,23,"Failed"
"AsyncRAT [[Server]] """" """" AsyncRAT [[Server]] ","AsyncRAT [[host]] """" """" AsyncRAT [[host]] ",0.000699162483215332,0.001946568489074707,0,0,0,17,"Failed"
""""" xx Default [[Company]] Ltd """" ",""""" xx Default [[party]] Ltd """" ",0.0012072324752807617,0.001912534236907959,0,0,0,35,"Failed"
"AsyncRAT Server """" """" AsyncRAT [[Server]] ","AsyncRAT Server """" """" AsyncRAT [[host]] ",0.0010775327682495117,0.0015463829040527344,0,0,0,17,"Failed"
""""" US [[Dis]] """" ",""""" US [[Orcus]] """" ",0.0015355348587036133,0.002981901168823242,0,0,0,17,"Failed"
"localhost [[AU]] Internet Widgits Pty Ltd localhost ","localhost [[gold]] Internet Widgits Pty Ltd localhost ",0.00183790922164917,0.002259373664855957,0,0,0,18,"Failed"
"rRPiRh1UFG.info """" """" rRPiRh1UFG.[[info]] ","rRPiRh1UFG.info """" """" rRPiRh1UFG.[[information]] ",0.000977635383605957,0.0013946890830993652,0,0,0,9,"Failed"
"serangredrt.Deaneereoso.nagoya [[SR]] Rerarsona Tondome sf. serangredrt.Deaneereoso.nagoya ","serangredrt.Deaneereoso.nagoya [[steradian]] Rerarsona Tondome sf. serangredrt.Deaneereoso.nagoya ",0.0028762221336364746,0.0036464929580688477,0,0,0,23,"Failed"
"AsyncRAT [[Server]] """" """" AsyncRAT Server ","AsyncRAT [[host]] """" """" AsyncRAT Server ",0.0011731982231140137,0.0015652775764465332,0,0,0,17,"Failed"
"AsyncRAT [[Server]] """" """" AsyncRAT Server ","AsyncRAT [[host]] """" """" AsyncRAT Server ",0.0010632872581481934,0.0014473795890808105,0,0,0,17,"Failed"
"grumhit.com US Let's [[Encrypt]] Let's [[Encrypt]] [[Authority]] X3 ","grumhit.com US Let's [[inscribe]] Let's [[cipher]] [[say-so]] X3 ",0.0016731619834899902,0.2604544162750244,0,0,0,76,"Failed"
""""" AU [[Internet]] Widgits Pty Ltd """" ",""""" AU [[internet]] Widgits Pty Ltd """" ",0.001073300838470459,0.0019506216049194336,0,0,0,16,"Failed"
"microsoft.com [[US]] Microsoft Ltd microsoft.com ","microsoft.com [[uracil]] Microsoft Ltd microsoft.com ",0.001164853572845459,0.0014888644218444824,0,0,0,20,"Failed"
"Quasar Server [[CA]] """" """" Quasar [[Server]] [[CA]] ","Quasar Server [[Calif]]. """" """" Quasar [[server]] [[calcium]] ",0.001378178596496582,0.001856684684753418,0,0,0,39,"Failed"
"AsyncRAT Server """" """" AsyncRAT Server ","AsyncRAT Server """" """" AsyncRAT Server ",0.0014875531196594238,0.0014875531196594238,0,0,0,17,"Failed"
"aceremote.xyz [[US]] Let's Encrypt R3 ","aceremote.xyz [[uracil]] Let's Encrypt R3 ",0.13346248865127563,0.7098653316497803,0,1,0,25,"Successful"
"attentionmagnet.[[top]] US Let's Encrypt R3 ","attentionmagnet.[[acme]] US Let's Encrypt R3 ",0.016546905040740967,0.9965863227844238,0,1,0,65,"Successful"
"clik2dot """" """" clik2dot ","clik2dot """" """" clik2dot ",0.0011780858039855957,0.0011780858039855957,0,0,0,3,"Failed"
"DcRat CN DcRat [[By]] qwqdanchun bax ","DcRat CN DcRat [[past]] qwqdanchun bax ",0.0017134547233581543,0.0019271373748779297,0,0,0,15,"Failed"
"AsyncRAT [[Server]] """" """" AsyncRAT Server ","AsyncRAT [[waiter]] """" """" AsyncRAT Server ",0.000988602638244629,0.0014120936393737793,0,0,0,17,"Failed"
""""" [[AU]] [[Internet]] Widgits Pty Ltd """" ",""""" [[gold]] [[cyberspace]] Widgits Pty Ltd """" ",0.0014154911041259766,0.0017163753509521484,0,0,0,16,"Failed"
"gasonz.com [[US]] gasonz gasonz.com ","gasonz.com [[u]] gasonz gasonz.com ",0.0020506978034973145,0.002232193946838379,0,0,0,19,"Failed"
"localhost AU Internet Widgits Pty Ltd localhost ","localhost AU Internet Widgits Pty Ltd localhost ",0.0020282864570617676,0.0020282864570617676,0,0,0,18,"Failed"
"[[example]].com [[GB]] [[Global]] Security [[example]].com ","[[exemplar]].com [[gigabyte]] [[ball-shaped]] Security [[lesson]].com ",0.0016609430313110352,0.245314359664917,0,0,0,90,"Failed"
"[[XX]] [[XX]] XX XX ","[[20]] [[20]] XX XX ",0.002079784870147705,0.002725541591644287,0,0,0,29,"Failed"
"localhost [[GB]] MyCompany Ltd. localhost ","localhost [[gigabyte]] MyCompany Ltd. localhost ",0.001045823097229004,0.0019372105598449707,0,0,0,26,"Failed"
"listjhueaa.cn [[US]] Let's [[Encrypt]] Let's [[Encrypt]] [[Authority]] X3 ","listjhueaa.cn [[USA]] Let's [[cipher]] Let's [[inscribe]] [[say-so]] X3 ",0.0009877681732177734,0.005948245525360107,0,0,0,76,"Failed"
"AsyncRAT [[Server]] """" """" AsyncRAT Server ","AsyncRAT [[waiter]] """" """" AsyncRAT Server ",0.0011591315269470215,0.0013676285743713379,0,0,0,17,"Failed"
""""" [[AU]] Internet Widgits Pty Ltd """" ",""""" [[gold]] Internet Widgits Pty Ltd """" ",0.0015924572944641113,0.0016629695892333984,0,0,0,16,"Failed"
"AsyncRAT Server """" """" AsyncRAT [[Server]] ","AsyncRAT Server """" """" AsyncRAT [[waiter]] ",0.0008318424224853516,0.0015783309936523438,0,0,0,17,"Failed"
