"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"* XX 1 * ","* XX 1 * ",0.0015369653701782227,0.0015369653701782227,0,0,0,3,"Failed"
"AsyncRAT [[Server]] """" """" AsyncRAT [[Server]] ","AsyncRAT [[Serfs]] """" """" AsyncRAT [[Sever]] ",0.0011841058731079102,0.0016310811042785645,0,0,0,43,"Failed"
""""" xx Default [[Company]] Ltd """" ",""""" xx Default [[Airlines]] Ltd """" ",0.001360476016998291,0.0018612146377563477,0,0,0,70,"Failed"
"AsyncRAT Server """" """" AsyncRAT [[Server]] ","AsyncRAT Server """" """" AsyncRAT [[Retainers]] ",0.0009818077087402344,0.0019237995147705078,0,0,0,43,"Failed"
""""" US [[Dis]] """" ",""""" US [[Telling]] """" ",0.0012371540069580078,0.0018565654754638672,0,0,0,12,"Failed"
"localhost [[AU]] [[Internet]] Widgits Pty Ltd localhost ","localhost [[UA]] [[Electronic]] Widgits Pty Ltd localhost ",0.0018270015716552734,0.0024278759956359863,0,0,0,42,"Failed"
"rRPiRh1UFG.[[info]] """" """" rRPiRh1UFG.[[info]] ","rRPiRh1UFG.[[data]] """" """" rRPiRh1UFG.[[notifying]] ",0.0008394718170166016,0.0018114447593688965,0,0,0,48,"Failed"
"serangredrt.Deaneereoso.[[nagoya]] [[SR]] Rerarsona Tondome [[sf]]. serangredrt.Deaneereoso.[[nagoya]] ","serangredrt.Deaneereoso.[[narita]] [[TECHNICS]] Rerarsona Tondome [[sm]]. serangredrt.Deaneereoso.[[jeju]] ",0.002707540988922119,0.009360313415527344,0,0,0,71,"Failed"
"AsyncRAT [[Server]] """" """" AsyncRAT Server ","AsyncRAT [[Bartenders]] """" """" AsyncRAT Server ",0.0011259913444519043,0.0023131370544433594,0,0,0,43,"Failed"
"AsyncRAT Server """" """" AsyncRAT [[Server]] ","AsyncRAT Server """" """" AsyncRAT [[Waitress]] ",0.0009255409240722656,0.0015391111373901367,0,0,0,43,"Failed"
"grumhit.[[com]] [[US]] Let's [[Encrypt]] Let's [[Encrypt]] [[Authority]] X3 ","grumhit.[[coms]] [[NOUS]] Let's [[Cipher]] Let's [[Quantify]] [[Authorizing]] X3 ",0.001442253589630127,0.6567955613136292,0,1,0,114,"Successful"
""""" AU [[Internet]] Widgits Pty Ltd """" ",""""" AU [[Onscreen]] Widgits Pty Ltd """" ",0.0017514228820800781,0.0021061301231384277,0,0,0,37,"Failed"
"microsoft.com US Microsoft Ltd [[microsoft]].[[com]] ","microsoft.com US Microsoft Ltd [[adobe]].[[omg]] ",0.0011528730392456055,0.9947330951690674,0,1,0,15,"Successful"
"Quasar Server [[CA]] """" """" Quasar [[Server]] CA ","Quasar Server [[CAN]] """" """" Quasar [[Vassals]] CA ",0.0010614991188049316,0.0025666356086730957,0,0,0,81,"Failed"
"AsyncRAT Server """" """" AsyncRAT [[Server]] ","AsyncRAT Server """" """" AsyncRAT [[Minion]] ",0.0008801817893981934,0.001691579818725586,0,0,0,43,"Failed"
"aceremote.xyz [[US]] Let's Encrypt R3 ","aceremote.xyz [[VS]] Let's Encrypt R3 ",0.10293954610824585,0.8089137673377991,0,1,0,23,"Successful"
"attentionmagnet.[[top]] US Let's Encrypt R3 ","attentionmagnet.[[principal]] US Let's Encrypt R3 ",0.015040457248687744,0.9962968826293945,0,1,0,21,"Successful"
"clik2dot """" """" clik2dot ","clik2dot """" """" clik2dot ",0.001195073127746582,0.001195073127746582,0,0,0,3,"Failed"
"DcRat [[CN]] DcRat [[By]] qwqdanchun bax ","DcRat [[NP]] DcRat [[For]] qwqdanchun bax ",0.001202702522277832,0.001866161823272705,0,0,0,19,"Failed"
"AsyncRAT [[Server]] """" """" AsyncRAT [[Server]] ","AsyncRAT [[Servant]] """" """" AsyncRAT [[Minion]] ",0.0010613799095153809,0.0015794038772583008,0,0,0,43,"Failed"
""""" AU [[Internet]] Widgits Pty [[Ltd]] """" ",""""" AU [[Onscreen]] Widgits Pty [[Restricted]] """" ",0.0014328956604003906,0.0029654502868652344,0,0,0,37,"Failed"
