,text,label
0,* XX 1 * ,0
1,"AsyncRAT Server """" """" AsyncRAT Server ",0
2,""""" xx Default Company Ltd """" ",0
3,"AsyncRAT Server """" """" AsyncRAT Server ",0
4,""""" US Dis """" ",0
5,localhost AU Internet Widgits Pty Ltd localhost ,0
6,"rRPiRh1UFG.info """" """" rRPiRh1UFG.info ",0
7,serangredrt.Deaneereoso.nagoya SR Rerarsona Tondome sf. serangredrt.Deaneereoso.nagoya ,0
8,"AsyncRAT Server """" """" AsyncRAT Server ",0
9,"AsyncRAT Server """" """" AsyncRAT Server ",0
10,grumhit.com US Let's Encrypt Let's Encrypt Authority X3 ,0
11,""""" AU Internet Widgits Pty Ltd """" ",0
12,microsoft.com US Microsoft Ltd microsoft.com ,0
13,"Quasar Server CA """" """" Quasar Server CA ",0
14,"AsyncRAT Server """" """" AsyncRAT Server ",0
15,aceremote.xyz US Let's Encrypt R3 ,0
16,attentionmagnet.top US Let's Encrypt R3 ,0
17,"clik2dot """" """" clik2dot ",0
18,DcRat CN DcRat By qwqdanchun bax ,0
19,"AsyncRAT Server """" """" AsyncRAT Server ",0
20,""""" AU Internet Widgits Pty Ltd """" ",0
21,gasonz.com US gasonz gasonz.com ,0
22,localhost AU Internet Widgits Pty Ltd localhost ,0
23,example.com GB Global Security example.com ,0
24,XX XX XX XX ,0
25,localhost GB MyCompany Ltd. localhost ,0
26,listjhueaa.cn US Let's Encrypt Let's Encrypt Authority X3 ,0
27,"AsyncRAT Server """" """" AsyncRAT Server ",0
28,""""" AU Internet Widgits Pty Ltd """" ",0
29,"AsyncRAT Server """" """" AsyncRAT Server ",0
30,* XX 1 * ,0
31,bonny.accesscam.org US Let's Encrypt Let's Encrypt Authority X3 ,0
32,"sldeodjiweiswi.com """" """" sldeodjiweiswi.com ",0
33,"rat1 """" """" rat1 ",0
34,""""" US Dis """" ",0
35,sumeriun.com US Let's Encrypt Let's Encrypt Authority X3 ,0
36,"BitRAT """" """" BitRAT ",0
37,"new """" """" new ",0
38,"AsyncRAT Server """" """" AsyncRAT Server ",0
39,example.com GB Global Security example.com ,0
40,sasf6asf683jfsd.xyz US Let's Encrypt R3 ,0
41,"AsyncRAT Server """" """" AsyncRAT Server ",0
42,"DarkEye Server """" """" DarkEye Server ",0
43,backup-leader.com US lol backup-leader.com ,0
44,"BitRAT """" """" BitRAT ",0
45,Qjlyxjcpy Xx QR Im Qjlyxjcpy Xx ,0
46,example.com GB Global Security example.com ,0
47,mparrain10.ddns.net US Let's Encrypt Let's Encrypt Authority X3 ,0
48,onthewire1.top US Let's Encrypt R3 ,0
49,XX XX XX XX ,0
50,gmail.com US Google GMail gmail.com ,0
51,bombinet.xyz US Let's Encrypt Let's Encrypt Authority X3 ,0
52,ayefrsturmexi.schmidt ZA Shefo Octhcob O.V.E.E. ayefrsturmexi.schmidt ,0
53,"Covid Server CA """" """" Covid Server CA ",0
54,entspartner.at US Let's Encrypt Let's Encrypt Authority X3 ,0
55,DcRat CN DcRat By qwqdanchun DcRat Server ,0
56,merotanos.com US Let's Encrypt Let's Encrypt Authority X3 ,0
57,domain.com US My Company Name LTD. domain.com ,0
58,localhost AU Internet Widgits Pty Ltd localhost ,0
59,""""" xx Default Company Ltd """" ",0
60,rocknrolletco.top US Let's Encrypt Let's Encrypt Authority X3 ,0
61,castles.info US furled receptiveness castles.info ,0
62,"tinkles """" """" tinkles ",0
63,localhost.localdomain -- SomeOrganization localhost.localdomain ,0
64,nanatools.ddns.net US Let's Encrypt Let's Encrypt Authority X3 ,0
65,""""" XX Default Company Ltd """" ",0
66,Seven DSert SHA2 CA US Seven Ltd Seven DSert SHA2 CA ,0
67,telekom-support.info US Let's Encrypt Let's Encrypt Authority X3 ,0
68,lg.icf-fx.kz US Let's Encrypt Let's Encrypt Authority X3 ,0
69,rotmansaaatot.icu US Let's Encrypt Let's Encrypt Authority X3 ,0
70,"ElectrumSSL """" """" ElectrumSSL ",0
