text,label
DcRat CN DcRat By qwqdanchun DcRat Server ,0
AsyncRAT Server N/A N/A AsyncRAT Server ,0
lambada.icu US Let's Encrypt Let's Encrypt Authority X3 ,0
AsyncRAT Server N/A N/A AsyncRAT Server ,0
Hkm FQ Lwggbfok Hkm ,0
support.microsovft.com US Let's Encrypt R3 ,0
localhost AU Internet Widgits Pty Ltd localhost ,0
payday.kozow.com US Let's Encrypt Let's Encrypt Authority X3 ,0
192.236.176.108 uu ddeef 192.236.176.108 ,0
prettybyrise.live US Let's Encrypt R3 ,0
* XX 1 * ,0
* XX 1 * ,0
"dross-technology.com US cPanel, Inc. cPanel, Inc. Certification Authority ",0
lifemaindecision.top US Let's Encrypt R3 ,0
DcRat CN DcRat By qwqdanchun DcRat Server ,0
localhost GB MyCompany Ltd. localhost ,0
chinaandkoreacriminalaffairs.kz GB COMODO CA Limited COMODO RSA Domain Validation Secure Server CA ,0
DcRat CN DcRat By qwqdanchun DcRat Server ,0
rockyenergy.hopto.org US Let's Encrypt Let's Encrypt Authority X3 ,0
localhost GB MyCompany Ltd. localhost ,0
gsdgjgjifacv.xyz US Let's Encrypt Let's Encrypt Authority X3 ,0
mailbox.outlook-msdn.com US Let's Encrypt Let's Encrypt Authority X3 ,0
N/A US Dis N/A ,0
N/A XX Default Company Ltd N/A ,0
devicelease.xyz US Let's Encrypt Let's Encrypt Authority X3 ,0
AsyncRAT Server N/A N/A AsyncRAT Server ,0
localhost AU Internet Widgits Pty Ltd localhost ,0
AsyncRAT Server N/A N/A AsyncRAT Server ,0
N/A US Dis N/A ,0
localhost AU Internet Widgits Pty Ltd localhost ,0
dmitolt.com US Let's Encrypt R3 ,0
N/A US Dis N/A ,0
forenzik.kz KZ NN Fern forenzik.kz ,0
standaradbnk.com GB Sectigo Limited Sectigo RSA Domain Validation Secure Server CA ,0
* XX 1 * ,0
example.com GB Global Security example.com ,0
def-update.com US Let's Encrypt Let's Encrypt Authority X3 ,0
Phoenix Rat Server N/A N/A Phoenix Rat Server ,0
* XX 1 * ,0
sak.myddns.com US Let's Encrypt Let's Encrypt Authority X3 ,0
detacher.xyz US Let's Encrypt R3 ,0
AsyncRAT Server N/A N/A AsyncRAT Server ,0
Orcus Server N/A N/A Orcus Server ,0
N/A US Dis N/A ,0
DcRat CN DcRat By qwqdanchun Server ,0
* XX 1 * ,0
AsyncRAT Server N/A N/A AsyncRAT Server ,0
example.com GB Global Security example.com ,0
DcRat CN DcRat By qwqdanchun VenomServer ,0
N/A US Dis N/A ,0
hitnaiguat.xyz US Let's Encrypt R3 ,0
