text,label
"AsyncRAT Server """" """" ",0
""""" AU Internet Widgits Pty Ltd ",0
localhost AU Internet Widgits Pty Ltd ,0
"Oracle America, Inc. US Oracle America, Inc. ",0
"BitRAT """" """" ",0
"DcRat """" """" ",0
* XX 1 ,0
Raanu9nedbl.talk IS Omprchedi OOD ,0
"ex-stores.com """" """" ",0
"respondcritique.xyz """" """" ",0
synology.com TW Synology Inc. ,0
"afspfigjeb.cn """" """" ",0
nytimes.com GB Sectigo Limited ,0
"Sjsz6qQata.net """" """" ",0
""""" XX Default Company Ltd ",0
"win-awards-here.life """" """" ",0
"dizifilmizle.xyz """" """" ",0
example.com GB Global Security ,0
"rgozxzvdfa.pw """" """" ",0
"joyoriggings.com """" """" ",0
"asdjausg.cn """" """" ",0
main4 GB main4 ,0
"fabulouscityofbruges.top """" """" ",0
"neobootcamp.xyz """" """" ",0
"ciscoupdt.com """" """" ",0
"burngs.com """" """" ",0
"reporta.pw """" """" ",0
"Quasar Server CA """" """" ",0
localhost US Domain ,0
web.local US MyCompany LLC ,0
""""" US Dis ",0
"giiahfiejhg.cn """" """" ",0
23.106.215.217 rs cccde ,0
catapult.space US icing's reappointed ,0
"nffsd-corp.com """" """" ",0
localhost GB MyCompany Ltd. ,0
"crimedog.club """" """" ",0
"letsmakesome.fun """" """" ",0
Henpkno VN Pfjruuyf ,0
"destgrena.at """" """" ",0
"azonpowerpick.xyz """" """" ",0
"akamai-technology.com """" """" ",0
"oaQNOsKhJ2.org """" """" ",0
"microsoft-ware.com """" """" ",0
"localhost """" """" ",0
publicstats.tk BD Gugel ,0
"pipe.rlogin.net """" """" ",0
""""" """" """" ",0
"aljaredh.com """" """" ",0
domain.com US My Company Name LTD. ,0
"www.eleanora.xyz """" """" ",0
"billdixononline.com """" """" ",0
"kasisausnasaysar.xyz """" """" ",0
""""" xx Default Company Ltd ",0
"gsghhd4fgaaaqhu.xyz """" """" ",0
"tracker.ntt-corporation.com """" """" ",0
"jobsbuycheap.website """" """" ",0
finderout.com US Gangnam ,0
"opratony.com """" """" ",0
"asdidjvjvaias.xyz """" """" ",0
"aka002.servegame.com """" """" ",0
"IT """" """" ",0
"jsservice.ru """" """" ",0
