text,label
"*.kecdjzsj.tk """" """" ",1
"panel.itsteo.host """" """" ",1
"volkswagen-auto-thomas-hennef.de """" """" ",1
"www.hairextensionsvancouver.bizzarrehair.ca """" """" ",1
"uslead.pro """" """" ",1
"taylorhaigler.com """" """" ",1
"gitlab.git.gitlab.git.gitlab.git.hongcexunhu.com """" """" ",1
"www.golfpinflag.com """" """" ",1
"woonatural.com """" """" ",1
"grafana.hd1py.com """" """" ",1
"git.git.git.git.git.cs.tapiau.info """" """" ",1
"*.talex-yoigo.es """" """" ",1
"www.pbb.khatulistiwa.desa.id """" """" ",1
"griguaassistenza.osticket.it """" """" ",1
"www.robereclamation.com.au """" """" ",1
"rwtpl.com """" """" ",1
"www.kosei-toyokawa.com """" """" ",1
"blog.blog.ns1.leaguelobster.com """" """" ",1
"scottsitron.com """" """" ",1
"tab-trockenbau.com """" """" ",1
"allwetpublishing.com """" """" ",1
"www.odermann.art """" """" ",1
"astles.fr """" """" ",1
"madridsensual.com """" """" ",1
"babtainco.com """" """" ",1
"foxixianyu.i234.me """" """" ",1
"*.sga-49757.nutanixframe.com """" """" ",1
"toyo-const.hisaoworks.net """" """" ",1
"jaclem.ww7.be """" """" ",1
*.cantara.cloud AU Rinami Pty Ltd ,1
"app.tokatindung.com """" """" ",1
"usc.znaczkima5608t.pw """" """" ",1
"settlersgateallen.com """" """" ",1
"cpanel.cosmicgroupsl.com """" """" ",1
"ev.unam.edu.ar """" """" ",1
"incredibleedibles2.com """" """" ",1
"stream.roboware.ai """" """" ",1
"homeextensionssouthport.co.uk """" """" ",1
"*.ethmining.homes """" """" ",1
"*.healthmoziac.com """" """" ",1
"*.mobilewelderenfield.co.uk """" """" ",1
"melroseceviche.com """" """" ",1
"brainrumagento2.phpmyadmin.burgbaran.de """" """" ",1
"*.atele.dn.ua """" """" ",1
"*.dollarpro392.pages.dev """" """" ",1
"lims.nmvrvi.lt """" """" ",1
"dev.justin.ua """" """" ",1
"centrodeterapiasybienestar.com """" """" ",1
"autohandelboone.be """" """" ",1
"*.xn----7sbabnihvnm0ah3cf.xn--p1ai """" """" ",1
"api.sweetpets.net """" """" ",1
"*.mantid.co """" """" ",1
"*.dm2nvqyst5xgv.amplifyapp.com """" """" ",1
"*.bremertonlockandkey.com """" """" ",1
"ews.a-k-d.ru """" """" ",1
"*.mycitizeneboxbelgiumtrackid4sd9masd.me """" """" ",1
"www.elenafosternotary.com """" """" ",1
"cpanel.huldaariel.photography """" """" ",1
"www.smartcomfortapartments.com """" """" ",1
"www.montessori-vienne.com """" """" ",1
"www.proartcompetition.com """" """" ",1
"cyberitsolutions.ca """" """" ",1
proudrock-06c0f563.germanywestcentral.azurecontainerapps.io US Microsoft Corporation ,1
canadacentral.compute.inference.ml.azure.com US Microsoft Corporation ,1
"*.borrmordali.ml """" """" ",1
"toptenreviews.eu """" """" ",1
"xn--seorcarbon-u9a.com """" """" ",1
"mail.imageslocker.com """" """" ",1
"www.wearespectra.co """" """" ",1
"meehomerouter.duckdns.org """" """" ",1
"espaciomatheu.com """" """" ",1
"instaturk.store """" """" ",1
"www.sunflower-celle.de """" """" ",1
"in-the.quest """" """" ",1
"*.apostolaatvantroost.nl """" """" ",1
bst-2b6e4bd3-cb51-43c8-9477-d1220a0ce2fd.bastion.azure.com US Microsoft Corporation ,1
"www.whatthefoliage.com.au """" """" ",1
"rickalejandrohewitt.com """" """" ",1
"*.qretro.com """" """" ",1
"appletion2.asuscomm.com """" """" ",1
"englishfouru.com """" """" ",1
"www.dimetasmithcpa.com """" """" ",1
"wood-couture.ch """" """" ",1
"www.brixleystree.com """" """" ",1
"*.lmgllc.net """" """" ",1
"blog.magento.live.katarinaorlandini.com """" """" ",1
"theessentialhome.co.uk """" """" ",1
"*.j2obt.info """" """" ",1
"sni.cloudflaressl.com US Cloudflare, Inc. ",1
"ci.motor-grease.performance.aize.io """" """" ",1
"www.be-plan.de """" """" ",1
"pfa-elearning.at """" """" ",1
"*.paintmarket.info """" """" ",1
"bewerbung.medoment.de """" """" ",1
"web.trader369.click """" """" ",1
"*.apollofoam.com """" """" ",1
"naturalgreencr.com """" """" ",1
"statikculture.com """" """" ",1
"*.rekrioride.ml """" """" ",1
"rotadocafedobrasil.com """" """" ",1
"paypay-bachelor-sidefire.com """" """" ",1
"pulsedesign.jp """" """" ",1
"deokr0zcyquf7in.access.rateex.ru """" """" ",1
"andigrafica.com """" """" ",1
"www.michalkepublishing.com """" """" ",1
"www.filpluslending.com """" """" ",1
"webmail.notaioroncoroni.it """" """" ",1
"www.fenyxdobrasil.crm.netsac.com.br """" """" ",1
"cx.intelepeer.com """" """" ",1
"cancelaosquecancelam.kimitri.com.br """" """" ",1
"lucasnegrel.fr """" """" ",1
"ecoledescommunications.com """" """" ",1
"avito.sber.avito.avito.avito.git.covid19.zlclubmarket.com """" """" ",1
"*.aprusta.tk """" """" ",1
"meta-driver.com """" """" ",1
"www.d9x9wmc6bhusxcqy.shop.ikonhospitality.com """" """" ",1
"westcoasthis.com """" """" ",1
"webdisk.ideal-gas.com """" """" ",1
"cafedesspores.be """" """" ",1
"www.arlynn.com """" """" ",1
"www.loginresmiqqhoki.agustinmunoz.net """" """" ",1
"grand-resh.ru """" """" ",1
"www.12498n.com """" """" ",1
"www.snookerfeet.com """" """" ",1
"af6.58098285.xyz """" """" ",1
*.mcas.ms US Microsoft Corporation ,1
"*.okwin333.me """" """" ",1
"admin.cmsdk.com """" """" ",1
"*.tatuazbeztajemnic.pl """" """" ",1
"*.u4tx0x9gwj.com """" """" ",1
"wsp.registrationsepayslip.pw """" """" ",1
"*.nnpcwxj.cyou """" """" ",1
"localtreecarepros.com """" """" ",1
"www.pomegranateguild.org """" """" ",1
"*.ibfkzprexh.digital """" """" ",1
"eisfiguren.de """" """" ",1
"cabinet.ednice.ru """" """" ",1
"blog.ednahirsbrunner.com """" """" ",1
"besat.zoodtel.com """" """" ",1
"covidpal.com """" """" ",1
"portal.believersbirth.com """" """" ",1
"cpanel.golosinasya.com.ar """" """" ",1
"ssl.requena.es """" """" ",1
"pilatesplusmuenchen.de """" """" ",1
"wwilson.net """" """" ",1
"*.linkblandont.ml """" """" ",1
"dra.x10.bz """" """" ",1
"ml.laptopsmexico.mx """" """" ",1
"git.gitlab.git.git.gitlab.git.remote.iron-trast.com """" """" ",1
"*.maxglobleonline82.pages.dev """" """" ",1
"www.louisvillelibrary.com """" """" ",1
"driverscam.de """" """" ",1
"taksi42.com.tr """" """" ",1
"cn.saeve.com """" """" ",1
"*.e0c17da92d78438c93e9896e28dacc71.plex.direct """" """" ",1
"login-stage.bauleitplanung-online.de """" """" ",1
"shadowstarser.keenetic.link """" """" ",1
"*.casasbahila.com """" """" ",1
"www.florastor.us """" """" ",1
"auditloggr.com """" """" ",1
"insights.emeritus.org """" """" ",1
"lavignaonline.com """" """" ",1
waws-prod-sn1-b58fbe63.publish.p.azurewebsites.windows.net US Microsoft Corporation ,1
"*.tycyfol69301.workers.dev """" """" ",1
"filatova-alyona.ru """" """" ",1
"corrugatedboxesdirect.co.uk """" """" ",1
"www.eastmanconveyors.com """" """" ",1
"www.endhiv.net """" """" ",1
"thegreatestshowband.com """" """" ",1
"cbmsppc.webdatasoft.link """" """" ",1
"*.hosting.net.pe """" """" ",1
"fancyachangepeace.org """" """" ",1
"fpwvdbznndvartu.www.dev.mailer.ter-glane.de """" """" ",1
"mail.miradorlencero.com """" """" ",1
"monitor.v220200430883115597.nicesrv.de """" """" ",1
hanacloud.ondemand.com DE SAP SE ,1
"finchi.cn """" """" ",1
"ce2021040916001.dnssw.net """" """" ",1
"www.rajakaospolo.com """" """" ",1
"*.spruceandpineprints.com """" """" ",1
"admin.standardweryfikacji.pl """" """" ",1
"www.happylucky-dqx.com """" """" ",1
"*.4b7fe03d434244d49f3512c4559d12ec.plex.direct """" """" ",1
"igarsolutions.com """" """" ",1
"*.pecsarichgeschmizu.tk """" """" ",1
"opendatalabs.in """" """" ",1
"www.photobykarenc.com """" """" ",1
"*.zaloguj.pics """" """" ",1
"*.motocuotas.cl """" """" ",1
"*.onlinedemobul.com """" """" ",1
"dimpysbeautysalon.com """" """" ",1
"seemeet.si """" """" ",1
"xn----ctbirddcze4b4c0b.xn--p1ai """" """" ",1
"firstbankcorp.com """" """" ",1
bst-0b35917f-a3de-491e-b8ff-ede3dcf81a03.bastion.azure.com US Microsoft Corporation ,1
"ebike4enduro.com """" """" ",1
"zeroangle.com """" """" ",1
"*.scus.backup.windowsazure.com """" """" ",1
"todaveandtohold.com """" """" ",1
"*.branditscan.com """" """" ",1
"mkuepper.de """" """" ",1
"lens.peak-sourcing.com """" """" ",1
"www.agenciaserviciosdigitales.com """" """" ",1
"polishededu.com """" """" ",1
"ihome-ro.techexpertolux.com """" """" ",1
"burvod124.ru """" """" ",1
"*.theatitlanfund.org """" """" ",1
"*.schoonheidsspecialiste-nancydetiege.be """" """" ",1
"crmtest1.betonhuis.nl """" """" ",1
"bizcorentals.com """" """" ",1
"www.wispact.org """" """" ",1
secure.clayton.k12.ga.us US Clayton County School District ,1
"primeproses.com.tr """" """" ",1
"aquilacred.site """" """" ",1
"kunstwerkkirche.at """" """" ",1
"jalotjot.com """" """" ",1
"univ-demenagement.fr """" """" ",1
"schuett.rawa-web.de """" """" ",1
"www.boweipipe.com """" """" ",1
"old.mkt.ama-uk.com """" """" ",1
"mellowbullz.com """" """" ",1
"*.fynsflyveklub.dk """" """" ",1
"*.thwarren.de """" """" ",1
"www.moriame-veterinaire.be """" """" ",1
"masterleather.ru """" """" ",1
"forage34.com """" """" ",1
"spaceworldtp.eu """" """" ",1
"22kk1277.com """" """" ",1
"pme1dopzyhux7r7.blog.blog.cleanvoice.com """" """" ",1
"project-virtus.eu """" """" ",1
"info3-verlag.de """" """" ",1
"registry.pp-studios.com """" """" ",1
"*.obruchcdis.ru """" """" ",1
"www.tournamentstud.com """" """" ",1
"elleestbellemacaille.fr """" """" ",1
"www.client-friendly.com """" """" ",1
"*.nw-blog.pages.dev """" """" ",1
"salonmari.ru """" """" ",1
"pelmate.co.uk """" """" ",1
"issafamilycar.com """" """" ",1
"www.vivaswartzkennel.se """" """" ",1
"*.paoloramazzotti.com """" """" ",1
"admin.beta.yike.it """" """" ",1
"washing.zgapi.cn """" """" ",1
