text,label
XX 1 1 1 * ,0
N/A N/A N/A N/A AsyncRAT Server ,0
xx N/A Default City Default Company Ltd N/A ,0
US Denial Springfield Dis N/A ,0
AU Some-State N/A Internet Widgits Pty Ltd localhost ,0
N/A N/A N/A N/A rRPiRh1UFG.info ,0
SR urinerou Paramaribo Rerarsona Tondome sf. serangredrt.Deaneereoso.nagoya ,0
N/A N/A N/A N/A grumhit.com grumhit.com www.grumhit.com ,0
AU Some-State N/A Internet Widgits Pty Ltd N/A ,0
US N/A Los-Angeles Microsoft Ltd microsoft.com ,0
N/A N/A N/A N/A Quasar Server CA ,0
N/A N/A N/A N/A aceremote.xyz *.aceremote.xyz aceremote.xyz ,0
N/A N/A N/A N/A attentionmagnet.top attentionmagnet.top ,0
N/A N/A N/A N/A hotroad.cyou hotroad.cyou ,0
N/A N/A N/A N/A clik2dot ,0
N/A N/A N/A N/A DcRat ,0
US CA Mountainview gasonz gasonz.com ,0
GB London London Global Security example.com ,0
XX XX XX XX XX ,0
GB Yorks York MyCompany Ltd. localhost ,0
N/A N/A N/A N/A listjhueaa.cn gaghh316f.xyz listjhueaa.cn www.gaghh316f.xyz www.listjhueaa.cn ,0
N/A N/A N/A N/A bonny.accesscam.org bonny.accesscam.org ,0
N/A N/A N/A N/A sldeodjiweiswi.com ,0
N/A N/A N/A N/A rat1 ,0
N/A N/A N/A N/A sumeriun.com *.sumeriun.com sumeriun.com ,0
N/A N/A N/A N/A BitRAT ,0
N/A N/A N/A N/A new ,0
N/A N/A N/A N/A sasf6asf683jfsd.xyz sasf6asf683jfsd.xyz www.sasf6asf683jfsd.xyz ,0
N/A N/A N/A N/A DarkEye Server ,0
US TX Texas lol backup-leader.com ,0
QR ytiy Csxfih Im Qjlyxjcpy Xx ,0
N/A N/A N/A N/A mparrain10.ddns.net mparrain10.ddns.net ,0
N/A N/A N/A N/A onthewire1.top onthewire1.top ,0
US CA Mountain View Google GMail gmail.com ,0
N/A N/A N/A N/A update.akamaifast.club update.akamaifast.club www.update.akamaifast.club ,0
N/A N/A N/A N/A bombinet.xyz bombinet.xyz ,0
ZA Jicelolat Teath3 dthousen Pretoria Shefo Octhcob O.V.E.E. ayefrsturmexi.schmidt ,0
N/A N/A N/A N/A Covid Server CA ,0
N/A N/A N/A N/A entspartner.at entspartner.at ,0
N/A N/A N/A N/A merotanos.com *.merotanos.com merotanos.com ,0
US N/A N/A My Company Name LTD. domain.com ,0
N/A N/A N/A N/A rocknrolletco.top *.rocknrolletco.top rocknrolletco.top ,0
US AK N/A furled receptiveness castles.info ,0
N/A N/A N/A N/A tinkles ,0
-- SomeState SomeCity SomeOrganization localhost.localdomain ,0
N/A N/A N/A N/A nanatools.ddns.net nanatools.ddns.net ,0
XX N/A Default City Default Company Ltd N/A ,0
US Some-State N/A Seven Ltd Seven DSert SHA2 CA ,0
N/A N/A N/A N/A telekom-support.info telekom-support.info ,0
N/A N/A N/A N/A lg.icf-fx.kz lg.icf-fx.kz www.lg.icf-fx.kz ,0
N/A N/A N/A N/A rotmansaaatot.icu rotmansaaatot.icu ,0
N/A N/A N/A N/A ElectrumSSL ,0
N/A N/A N/A N/A a5ce84fe.xyz a5ce84fe.xyz ,0
N/A N/A N/A N/A Orcus Server ,0
N/A N/A N/A N/A X1T8vh6Qdw.org ,0
BD N/A Dhaka Santi Sasuroof A.E. akendvofoudidi.su ,0
MD Spood malyison bithepra6 Ountebo2 Chisinau Belywone Treendaic NL vesadisesin.pstrmhe6ransicr.reviews ,0
US N/A N/A N/A statuscheck.online statuscheck.online www.statuscheck.online ,0
N/A N/A N/A N/A nickburkholder.pw nickburkholder.pw ,0
N/A N/A N/A N/A mslfiedjssfdes.com ,0
XX   N/A   N/A ,0
AU Some-State N/A   N/A ,0
N/A N/A N/A N/A stanculinaryblog.top stanculinaryblog.top ,0
N/A N/A N/A N/A roungod.com *.roungod.com roungod.com ,0
N/A N/A N/A N/A nutuscle.pw nutuscle.pw ,0
N/A N/A N/A N/A kordelservers.xyz kordelservers.xyz ,0
N/A N/A N/A N/A appealingedge.xyz appealingedge.xyz ,0
AM Pofesquss insusyong Yerevan Anpove SCOP Ppoccectw.lr ,0
-- SomeState SomeCity SomeOrganization server.domain.com ,0
N/A N/A N/A N/A jamesdrywall.xyz jamesdrywall.xyz ,0
IQ Icoouio turinel Orthaldi Baghdad Tatengeca SPE Thiofthitswe.media ,0
TM N/A Ashgabat Ertor SNC sontonecchidtt.Titheefrovorh.cologne ,0
N/A N/A N/A N/A lmnab.xyz lmnab.xyz www.lmnab.xyz ,0
N/A N/A N/A N/A guiapocos.xyz guiapocos.xyz ,0
N/A N/A N/A N/A asdstatistic.com asdstatistic.com ,0
N/A N/A N/A N/A sibelikinciel.xyz sibelikinciel.xyz ,0
N/A N/A N/A N/A kilimadzhara.xyz kilimadzhara.xyz www.kilimadzhara.xyz ,0
N/A N/A N/A N/A thhabvppp.com ,0
N/A N/A N/A N/A footballstar.top footballstar.top www.footballstar.top ,0
N/A N/A N/A N/A asfuhuhvuuye45ggv.xyz asfuhuhvuuye45ggv.xyz homate.xyz novacation.cn potuybze.xyz www.asfuhuhvuuye45ggv.xyz www.homate.xyz www.novacation.cn www.potuybze.xyz ,0
N/A N/A N/A N/A stylesam.com stylesam.com www.stylesam.com ,0
N/A N/A N/A N/A dasfogy4hgag.xyz dasfogy4hgag.xyz dsdognie31ygrggg.xyz fskagughvuehd.xyz golldgloball.cn homate.xyz novacation.cn nvurhvun4hv.xyz wheredoyougo.cn www.dasfogy4hgag.xyz www.dsdognie31ygrggg.xyz www.fskagughvuehd.xyz www.golldgloball.cn www.homate.xyz www.novacation.cn www.nvurhvun4hv.xyz www.wheredoyougo.cn www.zalerha7315.xyz zalerha7315.xyz ,0
N/A N/A N/A N/A militanttra.at militanttra.at ,0
N/A N/A N/A N/A dsfhhhhf44555.icu dsfhhhhf44555.icu fdsfsfsfs.xyz kilimadzhara.xyz ,0
N/A N/A N/A N/A genericalphabet.top genericalphabet.top ,0
NI N/A Managua Wenthedb Tidincr E.E. Ontuthinsalthw.silindunc.homedepot ,0
N/A N/A N/A N/A ludicrouslyl.at ludicrouslyl.at ,0
N/A N/A N/A N/A widewiderangers.fun widewiderangers.fun ,0
PK seefanth9 Islamabad Lsmhotf Ongohes Corporation Adchg9feson.sydney ,0
N/A N/A N/A N/A Gh0st RAT ,0
N/A N/A N/A N/A afsibibia3.xyz afsibibia3.xyz daspgpbjbj4ggg.xyz www.afsibibia3.xyz www.daspgpbjbj4ggg.xyz ,0
US Example Example Example Inc http://5.101.4.41 ,0
N/A N/A N/A N/A inj ,0
N/A N/A N/A N/A greentry.site bo.greentry.site by.greentry.site cr.greentry.site dq.greentry.site dr.greentry.site dw.greentry.site ep.greentry.site eq.greentry.site fo.greentry.site greentry.site gs.greentry.site gt.greentry.site ho.greentry.site lo.greentry.site mop.greentry.site nr.greentry.site oi.greentry.site pr.greentry.site prt.greentry.site q.greentry.site qw.greentry.site r.greentry.site sd.greentry.site vf.greentry.site w.greentry.site we.greentry.site www.bo.greentry.site www.by.greentry.site www.cr.greentry.site www.dq.greentry.site www.dr.greentry.site www.dw.greentry.site www.ep.greentry.site www.eq.greentry.site www.fo.greentry.site www.greentry.site www.gs.greentry.site www.gt.greentry.site www.ho.greentry.site www.lo.greentry.site www.mop.greentry.site www.nr.greentry.site www.oi.greentry.site www.pr.greentry.site www.prt.greentry.site www.q.greentry.site www.qw.greentry.site www.r.greentry.site www.sd.greentry.site www.vf.greentry.site www.w.greentry.site www.we.greentry.site ,0
N/A N/A N/A N/A igibhbyehvyga.xyz igibhbyehvyga.xyz www.igibhbyehvyga.xyz ,0
N/A N/A N/A N/A z.xooz.cf z.xooz.cf ,0
RU Moskva Moskava FuckUS kitoboyka.com ,0
N/A N/A N/A N/A alfanalytic.com alfanalytic.com ,0
N/A N/A N/A N/A Runtime Broker ,0
N/A N/A N/A N/A livejunto.xyz livejunto.xyz ,0
N/A N/A N/A N/A labelcs.com labelcs.com www.labelcs.com ,0
N/A N/A N/A N/A qwertyhills92.ddns.net qwertyhills92.ddns.net ,0
N/A N/A N/A N/A samp-loader.ml samp-loader.ml www.samp-loader.ml ,0
US Alaska Alaska AlaskaFuture Ltd John ,0
N/A N/A N/A N/A Odin Server CA ,0
N/A N/A N/A N/A B2tp ,0
N/A N/A N/A N/A chloroz.xyz chloroz.xyz ,0
N/A N/A N/A N/A postformt.com postformt.com www.postformt.com ,0
N/A N/A N/A N/A Kisszerver ,0
mn noopqrrrrs sttuvwww xxxyz 192.236.160.249 ,0
CN Cyberspace Somewhere Software CN ,0
N/A N/A N/A N/A ptvib.cf ptvib.cf cpanel.ptvib.cf mail.ptvib.cf webdisk.ptvib.cf webmail.ptvib.cf www.ptvib.cf ,0
AT N/A N/A N/A xeiaieki.us ,0
N/A N/A N/A N/A global-logic-stl.com global-logic-stl.com ,0
N/A N/A N/A N/A accentnailsspa.pw accentnailsspa.pw ,0
N/A N/A N/A N/A localhost localhost ,0
