text,label
*.kecdjzsj.tk N/A N/A *.kecdjzsj.tk kecdjzsj.tk ,1
panel.itsteo.host N/A N/A panel.itsteo.host ,1
volkswagen-auto-thomas-hennef.de N/A N/A volkswagen-auto-thomas-hennef.de ,1
www.hairextensionsvancouver.bizzarrehair.ca N/A N/A *.hairextensionsvancouver.com hairextensionsvancouver.bizzarrehair.ca hairextensionsvancouver.com ,1
uslead.pro N/A N/A uslead.pro ,1
taylorhaigler.com N/A N/A taylorhaigler.com ,1
gitlab.git.gitlab.git.gitlab.git.hongcexunhu.com N/A N/A gitlab.git.gitlab.git.gitlab.git.hongcexunhu.com ,1
www.golfpinflag.com N/A N/A www.golfpinflag.com ,1
woonatural.com N/A N/A woonatural.com www.woonatural.com ,1
grafana.hd1py.com N/A N/A grafana.hd1py.com ,1
git.git.git.git.git.cs.tapiau.info N/A N/A git.git.git.git.git.cs.tapiau.info www.git.git.git.git.git.cs.tapiau.info ,1
*.talex-yoigo.es N/A N/A *.talex-yoigo.es talex-yoigo.es ,1
www.pbb.khatulistiwa.desa.id N/A N/A pbb.khatulistiwa.desa.id www.pbb.khatulistiwa.desa.id ,1
griguaassistenza.osticket.it N/A N/A griguaassistenza.osticket.it ,1
www.robereclamation.com.au N/A N/A www.robereclamation.com.au ,1
rwtpl.com N/A N/A *.rwtpl.com rwtpl.com ,1
www.kosei-toyokawa.com N/A N/A kosei-toyokawa.com www.kosei-toyokawa.com ,1
blog.blog.ns1.leaguelobster.com N/A N/A blog.blog.ns1.leaguelobster.com ,1
scottsitron.com N/A N/A scottsitron.com ,1
tab-trockenbau.com N/A N/A tab-trockenbau.com www.tab-trockenbau.com ,1
allwetpublishing.com N/A N/A allwetpublishing.com ,1
www.odermann.art N/A N/A www.odermann.art ,1
astles.fr N/A N/A astles.fr mail.astles.fr www.astles.fr ,1
madridsensual.com N/A N/A *.madridsensual.com madridsensual.com madridsensual.es ,1
babtainco.com N/A N/A babtainco.com ,1
foxixianyu.i234.me N/A N/A *.foxixianyu.i234.me foxixianyu.i234.me ,1
*.sga-49757.nutanixframe.com N/A N/A *.sga-49757.nutanixframe.com ,1
toyo-const.hisaoworks.net N/A N/A toyo-const.hisaoworks.net www.toyo-const.hisaoworks.net ,1
jaclem.ww7.be N/A N/A jaclem.ww7.be ,1
*.cantara.cloud AU Rinami Pty Ltd *.cantara.cloud cantara.cloud ,1
app.tokatindung.com N/A N/A app.tokatindung.com ,1
usc.znaczkima5608t.pw N/A N/A usc.znaczkima5608t.pw ,1
settlersgateallen.com N/A N/A settlersgateallen.com ,1
cpanel.cosmicgroupsl.com N/A N/A autodiscover.cosmicgroupsl.com cosmicgroupsl.com cosmicgroupsl.cosmicaquarium.com ,1
ev.unam.edu.ar N/A N/A ev.unam.edu.ar ,1
incredibleedibles2.com N/A N/A incredibleedibles2.com ,1
stream.roboware.ai N/A N/A stream.roboware.ai ,1
homeextensionssouthport.co.uk N/A N/A homeextensionssouthport.co.uk www.homeextensionssouthport.co.uk ,1
*.ethmining.homes N/A N/A *.ethmining.homes ethmining.homes ,1
*.healthmoziac.com N/A N/A *.healthmoziac.com healthmoziac.com ,1
*.mobilewelderenfield.co.uk N/A N/A *.mobilewelderenfield.co.uk mobilewelderenfield.co.uk ,1
melroseceviche.com N/A N/A melroseceviche.com ,1
brainrumagento2.phpmyadmin.burgbaran.de N/A N/A brainrumagento2.phpmyadmin.burgbaran.de ,1
*.atele.dn.ua N/A N/A *.atele.dn.ua atele.dn.ua ,1
*.dollarpro392.pages.dev N/A N/A *.dollarpro392.pages.dev dollarpro392.pages.dev ,1
lims.nmvrvi.lt N/A N/A lims.nmvrvi.lt www.lims.nmvrvi.lt ,1
dev.justin.ua N/A N/A dev.justin.ua ,1
centrodeterapiasybienestar.com N/A N/A centrodeterapiasybienestar.com www.centrodeterapiasybienestar.com ,1
autohandelboone.be N/A N/A autohandelboone.be boone-cars.be www.autohandelboone.be ,1
*.xn----7sbabnihvnm0ah3cf.xn--p1ai N/A N/A *.xn----7sbabnihvnm0ah3cf.xn--p1ai xn----7sbabnihvnm0ah3cf.xn--p1ai ,1
api.sweetpets.net N/A N/A api.sweetpets.net ,1
*.mantid.co N/A N/A *.mantid.co mantid.co ,1
*.dm2nvqyst5xgv.amplifyapp.com N/A N/A *.dm2nvqyst5xgv.amplifyapp.com dm2nvqyst5xgv.amplifyapp.com ,1
*.bremertonlockandkey.com N/A N/A *.bremertonlockandkey.com bremertonlockandkey.com ,1
ews.a-k-d.ru N/A N/A ews.a-k-d.ru www.ews.a-k-d.ru ,1
*.mycitizeneboxbelgiumtrackid4sd9masd.me N/A N/A *.mycitizeneboxbelgiumtrackid4sd9masd.me mycitizeneboxbelgiumtrackid4sd9masd.me ,1
www.elenafosternotary.com N/A N/A www.elenafosternotary.com ,1
cpanel.huldaariel.photography N/A N/A cpanel.huldaariel.photography mail.huldaariel.photography webmail.huldaariel.photography ,1
www.smartcomfortapartments.com N/A N/A autodiscover.smartcomfortapartments.com cpanel.smartcomfortapartments.com cpcalendars.smartcomfortapartments.com ,1
www.montessori-vienne.com N/A N/A montessori-vienne.com www.montessori-vienne.com ,1
www.proartcompetition.com N/A N/A proartcompetition.com www.proartcompetition.com ,1
cyberitsolutions.ca N/A N/A autodiscover.cyberitsolutions.ca cpanel.cyberitsolutions.ca cpcalendars.cyberitsolutions.ca ,1
proudrock-06c0f563.germanywestcentral.azurecontainerapps.io US Microsoft Corporation *.proudrock-06c0f563.germanywestcentral.azurecontainerapps.io *.scm.proudrock-06c0f563.germanywestcentral.azurecontainerapps.io *.internal.proudrock-06c0f563.germanywestcentral.azurecontainerapps.io ,1
canadacentral.compute.inference.ml.azure.com US Microsoft Corporation canadacentral.compute.inference.ml.azure.com *.mirv2-runner-byoc-win-ga-3fc0.canadacentral.compute.inference.ml.azure.com ,1
*.borrmordali.ml N/A N/A *.borrmordali.ml borrmordali.ml ,1
toptenreviews.eu N/A N/A toptenreviews.eu ,1
xn--seorcarbon-u9a.com N/A N/A xn--seorcarbon-u9a.com *.xn--seorcarbon-u9a.com ,1
mail.imageslocker.com N/A N/A mail.imageslocker.com ,1
www.wearespectra.co N/A N/A www.wearespectra.co ,1
meehomerouter.duckdns.org N/A N/A meehomerouter.duckdns.org ,1
espaciomatheu.com N/A N/A espaciomatheu.ar espaciomatheu.com espaciomatheu.com.ar ,1
instaturk.store N/A N/A autodiscover.instaturk.store cpanel.instaturk.store cpcalendars.instaturk.store ,1
www.sunflower-celle.de N/A N/A sunflower-celle.de www.sunflower-celle.de ,1
in-the.quest N/A N/A in-the.quest ,1
