,text,label
0,DcRat CN DcRat By qwqdanchun DcRat Server ,0
1,AsyncRAT Server N/A N/A AsyncRAT Server ,0
2,lambada.icu US Let's Encrypt Let's Encrypt Authority X3 ,0
3,AsyncRAT Server N/A N/A AsyncRAT Server ,0
4,Hkm FQ Lwggbfok Hkm ,0
5,localhost AU Internet Widgits Pty Ltd localhost ,0
6,payday.kozow.com US Let's Encrypt Let's Encrypt Authority X3 ,0
7,192.236.176.108 uu ddeef 192.236.176.108 ,0
8,prettybyrise.live US Let's Encrypt R3 ,0
9,* XX 1 * ,0
10,* XX 1 * ,0
11,"dross-technology.com US cPanel, Inc. cPanel, Inc. Certification Authority ",0
12,lifemaindecision.top US Let's Encrypt R3 ,0
13,DcRat CN DcRat By qwqdanchun DcRat Server ,0
14,localhost GB MyCompany Ltd. localhost ,0
15,chinaandkoreacriminalaffairs.kz GB COMODO CA Limited COMODO RSA Domain Validation Secure Server CA ,0
16,DcRat CN DcRat By qwqdanchun DcRat Server ,0
17,rockyenergy.hopto.org US Let's Encrypt Let's Encrypt Authority X3 ,0
18,localhost GB MyCompany Ltd. localhost ,0
19,gsdgjgjifacv.xyz US Let's Encrypt Let's Encrypt Authority X3 ,0
20,mailbox.outlook-msdn.com US Let's Encrypt Let's Encrypt Authority X3 ,0
21,N/A US Dis N/A ,0
22,N/A XX Default Company Ltd N/A ,0
23,devicelease.xyz US Let's Encrypt Let's Encrypt Authority X3 ,0
24,AsyncRAT Server N/A N/A AsyncRAT Server ,0
25,localhost AU Internet Widgits Pty Ltd localhost ,0
26,AsyncRAT Server N/A N/A AsyncRAT Server ,0
27,N/A US Dis N/A ,0
28,localhost AU Internet Widgits Pty Ltd localhost ,0
29,dmitolt.com US Let's Encrypt R3 ,0
30,N/A US Dis N/A ,0
31,forenzik.kz KZ NN Fern forenzik.kz ,0
32,* XX 1 * ,0
33,example.com GB Global Security example.com ,0
34,def-update.com US Let's Encrypt Let's Encrypt Authority X3 ,0
35,Phoenix Rat Server N/A N/A Phoenix Rat Server ,0
36,* XX 1 * ,0
37,sak.myddns.com US Let's Encrypt Let's Encrypt Authority X3 ,0
38,detacher.xyz US Let's Encrypt R3 ,0
39,AsyncRAT Server N/A N/A AsyncRAT Server ,0
40,Orcus Server N/A N/A Orcus Server ,0
41,N/A US Dis N/A ,0
42,DcRat CN DcRat By qwqdanchun Server ,0
43,* XX 1 * ,0
44,AsyncRAT Server N/A N/A AsyncRAT Server ,0
45,example.com GB Global Security example.com ,0
46,DcRat CN DcRat By qwqdanchun VenomServer ,0
47,N/A US Dis N/A ,0
48,hitnaiguat.xyz US Let's Encrypt R3 ,0
49,letofavintha.kp AD Oaorvesi Rsaio SA letofavintha.kp ,0
50,DcRat CN DcRat By qwqdanchun 火绒企业管理 ,0
51,gidjshrvz.xyz US Let's Encrypt Let's Encrypt Authority X3 ,0
52,kemalllll N/A N/A kemalllll ,0
53,BitRAT N/A N/A BitRAT ,0
54,Quasar Server CA N/A N/A Quasar Server CA ,0
55,azure-updatedb.at GB Sectigo Limited Sectigo RSA Domain Validation Secure Server CA ,0
56,Quasar Server CA N/A N/A Quasar Server CA ,0
57,fatturadiitali.com US Let's Encrypt Let's Encrypt Authority X3 ,0
58,akamaicln.com US Let's Encrypt Let's Encrypt Authority X3 ,0
